MiniDOT Logger Concatenated Data File
Sensor:             7392-727213
Concatenation Date: 2018Sep06 13:44:37 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528826760,           2018-06-12 18:06:00,           2018-06-12 13:06:00,      3.470000,     23.277000,          7.720000,                    93.651037,      0.979000
                1528827060,           2018-06-12 18:11:00,           2018-06-12 13:11:00,      3.470000,     23.327000,          7.755000,                    94.164778,      0.981000
                1528827360,           2018-06-12 18:16:00,           2018-06-12 13:16:00,      3.470000,     23.385000,          7.773000,                    94.487030,      0.983000
                1528827660,           2018-06-12 18:21:00,           2018-06-12 13:21:00,      3.480000,     23.410000,          7.780000,                    94.616861,      0.983000
                1528827960,           2018-06-12 18:26:00,           2018-06-12 13:26:00,      3.480000,     23.268000,          7.794000,                    94.532601,      0.982000
                1528828260,           2018-06-12 18:31:00,           2018-06-12 13:31:00,      3.480000,     23.067000,          7.830000,                    94.607572,      0.983000
                1528828560,           2018-06-12 18:36:00,           2018-06-12 13:36:00,      3.480000,     22.942000,          7.836000,                    94.455135,      0.982000
                1528828860,           2018-06-12 18:41:00,           2018-06-12 13:41:00,      3.480000,     22.850000,          7.842000,                    94.361859,      0.982000
                1528829160,           2018-06-12 18:46:00,           2018-06-12 13:46:00,      3.480000,     22.783000,          7.833000,                    94.133142,      0.981000
                1528829460,           2018-06-12 18:51:00,           2018-06-12 13:51:00,      3.480000,     22.641000,          7.872000,                    94.345449,      0.983000
                1528829760,           2018-06-12 18:56:00,           2018-06-12 13:56:00,      3.480000,     22.440000,          7.870000,                    93.958938,      0.980000
                1528830060,           2018-06-12 19:01:00,           2018-06-12 14:01:00,      3.480000,     22.683000,          7.879000,                    94.505224,      0.984000
