Plot Title: miniDOT-Benthic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)"	"Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517221)	Host Connected (LGR S/N: 10517221)	Stopped (LGR S/N: 10517221)	End Of File (LGR S/N: 10517221)
135	6/16/2018 2:00	10.455	21.5				
136	6/16/2018 2:30	10.455	32.3				
137	6/16/2018 3:00	10.455	64.6				
138	6/16/2018 3:30	10.455	129.2				
139	6/16/2018 4:00	10.455	247.6				
140	6/16/2018 4:30	10.455	333.7				
141	6/16/2018 5:00	10.455	441.3				
142	6/16/2018 5:30	10.455	850.4				
143	6/16/2018 6:00	10.357	1033.3				
144	6/16/2018 6:30	10.357	1033.3				
145	6/16/2018 7:00	10.063	1011.8				
146	6/16/2018 7:30	10.063	1808.3				
147	6/16/2018 8:00	10.063	1980.6				
148	6/16/2018 8:30	10.063	1550				
149	6/16/2018 9:00	10.161	2152.8				
150	6/16/2018 9:30	10.357	3616.7				
151	6/16/2018 10:00	10.553	4305.6				
152	6/16/2018 10:30	10.651	4994.5				
153	6/16/2018 11:00	10.651	5166.7				
154	6/16/2018 11:30	10.553	3100				
155	6/16/2018 12:00	10.455	2927.8				
156	6/16/2018 12:30	10.651	5166.7				
157	6/16/2018 13:00	11.041	8266.7				
158	6/16/2018 13:30	10.651	1980.6				
159	6/16/2018 14:00	10.553	1808.3				
160	6/16/2018 14:30	10.651	2755.6				
161	6/16/2018 15:00	10.455	1894.5				
162	6/16/2018 15:30	10.748	4305.6				
163	6/16/2018 16:00	10.846	5166.7				
164	6/16/2018 16:30	10.846	3444.5				
165	6/16/2018 17:00	10.748	2238.9				
166	6/16/2018 17:30	10.553	2238.9				
167	6/16/2018 18:00	10.553	1636.1				
168	6/16/2018 18:30	10.553	1345.5				
169	6/16/2018 19:00	10.553	1636.1				
170	6/16/2018 19:30	10.651	1550				
171	6/16/2018 20:00	10.748	1808.3				
172	6/16/2018 20:30	10.748	785.8				
173	6/16/2018 21:00	10.748	624.3				
174	6/16/2018 21:30	10.651	355.2				
175	6/16/2018 22:00	10.651	269.1				
176	6/16/2018 22:30	10.651	161.5				
177	6/16/2018 23:00	10.553	118.4				
178	6/16/2018 23:30	10.553	75.3				
179	6/17/2018 0:00	10.553	32.3				
180	6/17/2018 0:30	10.455	21.5				
181	6/17/2018 1:00	10.455	21.5				
182	6/17/2018 1:30	10.455	21.5				
183	6/17/2018 2:00	10.357	21.5				
184	6/17/2018 2:30	10.357	43.1				
185	6/17/2018 3:00	10.357	75.3				
186	6/17/2018 3:30	10.357	139.9				
187	6/17/2018 4:00	10.357	290.6				
188	6/17/2018 4:30	10.357	419.8				
189	6/17/2018 5:00	10.259	549				
190	6/17/2018 5:30	10.259	990.3				
191	6/17/2018 6:00	10.357	1377.8				
192	6/17/2018 6:30	10.455	1808.3				
193	6/17/2018 7:00	10.553	2152.8				
194	6/17/2018 7:30	10.553	2669.5				
195	6/17/2018 8:00	10.748	3444.5				
196	6/17/2018 8:30	10.846	3788.9				
197	6/17/2018 9:00	10.846	4477.8				
198	6/17/2018 9:30	10.846	3961.1				
199	6/17/2018 10:00	10.944	4477.8				
200	6/17/2018 10:30	11.041	4477.8				
201	6/17/2018 11:00	11.041	3788.9				
202	6/17/2018 11:30	10.944	4133.4				
203	6/17/2018 12:00	10.944	2583.4				
204	6/17/2018 12:30	10.846	1022.6				
205	6/17/2018 13:00	10.944	2411.1				
206	6/17/2018 13:30	11.625	6200				
207	6/17/2018 14:00	11.139	2325				
208	6/17/2018 14:30	11.041	3616.7				
209	6/17/2018 15:00	11.625	3616.7				
210	6/17/2018 15:30	11.528	6200				
211	6/17/2018 16:00	11.625	4994.5				
212	6/17/2018 16:30	11.625	5166.7				
213	6/17/2018 17:00	11.625	4477.8				
214	6/17/2018 17:30	11.528	3961.1				
215	6/17/2018 18:00	11.528	3444.5				
216	6/17/2018 18:30	11.528	2238.9				
217	6/17/2018 19:00	11.431	2066.7				
218	6/17/2018 19:30	11.334	1280.9				
219	6/17/2018 20:00	11.431	1894.5				
220	6/17/2018 20:30	11.334	1550				
221	6/17/2018 21:00	11.334	699.7				
