"Plot Title: MD_e5_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Coupler Detached (LGR S/N: 10517223)","Bad Battery (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
106,06/09/21 22:30:00,11.431,279.9,,,,,,
107,06/09/21 23:30:00,11.431,344.4,,,,,,
108,06/10/21 00:30:00,11.431,53.8,,,,,,
109,06/10/21 01:30:00,11.431,21.5,,,,,,
110,06/10/21 02:30:00,11.431,21.5,,,,,,
111,06/10/21 03:30:00,11.431,236.8,,,,,,
112,06/10/21 04:30:00,11.431,570.5,,,,,,
113,06/10/21 05:30:00,11.431,2152.8,,,,,,
114,06/10/21 06:30:00,11.528,3272.2,,,,,,
115,06/10/21 07:30:00,11.528,6200.0,,,,,,
116,06/10/21 08:30:00,11.431,3788.9,,,,,,
117,06/10/21 09:30:00,11.431,6544.5,,,,,,
118,06/10/21 10:30:00,11.528,5338.9,,,,,,
119,06/10/21 11:30:00,11.916,9300.1,,,,,,
120,06/10/21 12:30:00,11.819,22044.6,,,,,,
121,06/10/21 13:30:00,11.722,8611.2,,,,,,
122,06/10/21 14:30:00,12.013,10677.8,,,,,,
123,06/10/21 15:30:00,12.013,6544.5,,,,,,
124,06/10/21 16:30:00,12.013,7577.8,,,,,,
125,06/10/21 17:30:00,11.916,5338.9,,,,,,
126,06/10/21 18:30:00,11.916,3616.7,,,,,,
127,06/10/21 19:30:00,11.819,2583.4,,,,,,
128,06/10/21 20:30:00,11.916,2325.0,,,,,,
129,06/10/21 21:30:00,11.819,1119.5,,,,,,
130,06/10/21 22:30:00,11.625,279.9,,,,,,
131,06/10/21 23:30:00,11.528,107.6,,,,,,
132,06/11/21 00:30:00,11.431,43.1,,,,,,
133,06/11/21 01:30:00,11.431,21.5,,,,,,
134,06/11/21 02:30:00,11.431,0.0,,,,,,
135,06/11/21 03:30:00,11.334,75.3,,,,,,
136,06/11/21 04:30:00,11.334,226.0,,,,,,
137,06/11/21 05:30:00,11.139,344.4,,,,,,
138,06/11/21 06:30:00,11.041,1248.6,,,,,,
139,06/11/21 07:30:00,11.041,1808.3,,,,,,
140,06/11/21 08:30:00,11.041,4133.4,,,,,,
141,06/11/21 09:30:00,11.334,4994.5,,,,,,
142,06/11/21 10:30:00,11.431,7233.4,,,,,,
143,06/11/21 11:30:00,11.431,7233.4,,,,,,
144,06/11/21 12:30:00,11.334,9300.1,,,,,,
145,06/11/21 13:30:00,11.431,9300.1,,,,,,
146,06/11/21 14:30:00,11.334,8266.7,,,,,,
147,06/11/21 15:30:00,11.334,8611.2,,,,,,
148,06/11/21 16:30:00,11.139,3961.1,,,,,,
149,06/11/21 17:30:00,10.944,2755.6,,,,,,
150,06/11/21 18:30:00,10.944,4133.4,,,,,,
151,06/11/21 19:30:00,10.748,4305.6,,,,,,
152,06/11/21 20:30:00,10.553,1894.5,,,,,,
153,06/11/21 21:30:00,10.357,613.5,,,,,,
154,06/11/21 22:30:00,10.259,96.9,,,,,,
155,06/11/21 23:30:00,9.965,32.3,,,,,,
156,06/12/21 00:30:00,9.768,10.8,,,,,,
157,06/12/21 01:30:00,9.669,0.0,,,,,,
158,06/12/21 02:30:00,9.571,10.8,,,,,,
159,06/12/21 03:30:00,9.373,107.6,,,,,,
160,06/12/21 04:30:00,9.176,301.4,,,,,,
161,06/12/21 05:30:00,8.978,807.3,,,,,,
162,06/12/21 06:30:00,8.680,1894.5,,,,,,
163,06/12/21 07:30:00,8.680,1377.8,,,,,,
164,06/12/21 08:30:00,8.978,1808.3,,,,,,
165,06/12/21 09:30:00,9.275,12400.1,,,,,,
166,06/12/21 10:30:00,9.275,13089.0,,,,,,
167,06/12/21 11:30:00,9.176,5166.7,,,,,,
168,06/12/21 12:30:00,9.373,5166.7,,,,,,
169,06/12/21 13:30:00,9.768,23422.4,,,,,,
170,06/12/21 14:30:00,10.063,10677.8,,,,,,
171,06/12/21 15:30:00,10.357,15155.7,,,,,,
172,06/12/21 16:30:00,10.161,7233.4,,,,,,
173,06/12/21 17:30:00,9.965,4650.0,,,,,,
174,06/12/21 18:30:00,9.866,5166.7,,,,,,
175,06/12/21 19:30:00,9.768,2583.4,,,,,,
176,06/12/21 20:30:00,9.669,1894.5,,,,,,
177,06/12/21 21:30:00,9.571,1087.2,,,,,,
178,06/12/21 22:30:00,9.472,452.1,,,,,,
179,06/12/21 23:30:00,9.472,139.9,,,,,,
180,06/13/21 00:30:00,9.472,43.1,,,,,,
181,06/13/21 01:30:00,9.373,53.8,,,,,,
182,06/13/21 02:30:00,9.373,75.3,,,,,,
183,06/13/21 03:30:00,9.176,236.8,,,,,,
184,06/13/21 04:30:00,9.077,667.4,,,,,,
185,06/13/21 05:30:00,9.077,441.3,,,,,,
186,06/13/21 06:30:00,8.978,1011.8,,,,,,
187,06/13/21 07:30:00,8.879,1119.5,,,,,,
188,06/13/21 08:30:00,8.879,1722.2,,,,,,
189,06/13/21 09:30:00,8.779,1980.6,,,,,,
190,06/13/21 10:30:00,8.680,2325.0,,,,,,
191,06/13/21 11:30:00,8.581,2755.6,,,,,,
192,06/13/21 12:30:00,8.382,3100.0,,,,,,
193,06/13/21 13:30:00,8.182,4305.6,,,,,,
194,06/13/21 14:30:00,8.182,4477.8,,,,,,
195,06/13/21 15:30:00,8.182,4477.8,,,,,,
196,06/13/21 16:30:00,8.182,3961.1,,,,,,
197,06/13/21 17:30:00,8.282,3961.1,,,,,,
198,06/13/21 18:30:00,8.282,2066.7,,,,,,
199,06/13/21 19:30:00,8.282,1550.0,,,,,,
200,06/13/21 20:30:00,8.382,828.8,,,,,,
201,06/13/21 21:30:00,8.182,516.7,,,,,,
202,06/13/21 22:30:00,7.682,236.8,,,,,,
203,06/13/21 23:30:00,7.582,118.4,,,,,,
204,06/14/21 00:30:00,7.582,32.3,,,,,,
205,06/14/21 01:30:00,7.582,43.1,,,,,,
206,06/14/21 02:30:00,7.582,43.1,,,,,,
207,06/14/21 03:30:00,7.381,96.9,,,,,,
208,06/14/21 04:30:00,7.280,322.9,,,,,,
209,06/14/21 05:30:00,7.280,2066.7,,,,,,
210,06/14/21 06:30:00,7.280,3100.0,,,,,,
211,06/14/21 07:30:00,7.381,4305.6,,,,,,
212,06/14/21 08:30:00,7.481,5511.1,,,,,,
213,06/14/21 09:30:00,7.481,4650.0,,,,,,
214,06/14/21 10:30:00,7.582,7233.4,,,,,,
215,06/14/21 11:30:00,7.782,10333.4,,,,,,
216,06/14/21 12:30:00,7.983,16533.4,,,,,,
217,06/14/21 13:30:00,7.782,7233.4,,,,,,
218,06/14/21 14:30:00,7.882,6544.5,,,,,,
219,06/14/21 15:30:00,7.882,4994.5,,,,,,
220,06/14/21 16:30:00,8.282,12400.1,,,,,,
221,06/14/21 17:30:00,8.082,10677.8,,,,,,
222,06/14/21 18:30:00,7.983,4994.5,,,,,,
223,06/14/21 19:30:00,7.983,2583.4,,,,,,
224,06/14/21 20:30:00,7.882,2927.8,,,,,,
225,06/14/21 21:30:00,7.782,1291.7,,,,,,
226,06/14/21 22:30:00,7.582,538.2,,,,,,
227,06/14/21 23:30:00,7.481,215.3,,,,,,
228,06/15/21 00:30:00,7.481,75.3,,,,,,
229,06/15/21 01:30:00,7.381,53.8,,,,,,
230,06/15/21 02:30:00,7.381,161.5,,,,,,
231,06/15/21 03:30:00,7.381,430.6,,,,,,
232,06/15/21 04:30:00,7.381,1227.1,,,,,,
233,06/15/21 05:30:00,7.381,2755.6,,,,,,
234,06/15/21 06:30:00,7.381,3100.0,,,,,,
235,06/15/21 07:30:00,7.481,4650.0,,,,,,
236,06/15/21 08:30:00,7.481,4305.6,,,,,,
237,06/15/21 09:30:00,7.582,5511.1,,,,,,
238,06/15/21 10:30:00,7.682,3788.9,,,,,,
239,06/15/21 11:30:00,8.082,20666.8,,,,,,
240,06/15/21 12:30:00,8.382,23422.4,,,,,,
241,06/15/21 13:30:00,8.182,9300.1,,,,,,
242,06/15/21 14:30:00,8.182,8266.7,,,,,,
243,06/15/21 15:30:00,8.182,6544.5,,,,,,
244,06/15/21 16:30:00,8.282,8266.7,,,,,,
245,06/15/21 17:30:00,8.182,5166.7,,,,,,
246,06/15/21 18:30:00,8.082,4305.6,,,,,,
247,06/15/21 19:30:00,8.182,5166.7,,,,,,
248,06/15/21 20:30:00,7.983,1894.5,,,,,,
249,06/15/21 21:30:00,7.882,688.9,,,,,,
250,06/15/21 22:30:00,7.782,688.9,,,,,,
251,06/15/21 23:30:00,7.682,236.8,,,,,,
252,06/16/21 00:30:00,7.582,96.9,,,,,,
253,06/16/21 01:30:00,7.582,53.8,,,,,,
