"Plot Title: sonde_May21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724105, SEN S/N: 10724105)","Intensity, Lux (LGR S/N: 10724105, SEN S/N: 10724105)","Coupler Detached (LGR S/N: 10724105)","Coupler Attached (LGR S/N: 10724105)","Host Connected (LGR S/N: 10724105)","Stopped (LGR S/N: 10724105)","End Of File (LGR S/N: 10724105)"
99,05/19/21 04:26:06 PM,26.000,85422.8,,,,,
100,05/19/21 04:56:06 PM,8.779,28933.5,,,,,
101,05/19/21 05:26:06 PM,5.655,57867.0,,,,,
102,05/19/21 05:56:06 PM,9.472,121245.2,,,,,
103,05/19/21 06:26:06 PM,9.176,74400.5,,,,,
104,05/19/21 06:56:06 PM,8.282,27555.7,,,,,
105,05/19/21 07:26:06 PM,7.481,49600.3,,,,,
106,05/19/21 07:56:06 PM,5.450,16533.4,,,,,
107,05/19/21 08:26:06 PM,4.727,14466.8,,,,,
108,05/19/21 08:56:06 PM,3.893,14466.8,,,,,
109,05/19/21 09:26:06 PM,2.517,14466.8,,,,,
110,05/19/21 09:56:06 PM,1.330,7233.4,,,,,
111,05/19/21 10:26:06 PM,-0.437,2325.0,,,,,
112,05/19/21 10:56:06 PM,-0.325,559.7,,,,,
113,05/19/21 11:26:06 PM,-0.887,172.2,,,,,
114,05/19/21 11:56:06 PM,-1.570,64.6,,,,,
115,05/20/21 12:26:06 AM,-1.799,32.3,,,,,
116,05/20/21 12:56:06 AM,-2.030,21.5,,,,,
117,05/20/21 01:26:06 AM,-1.914,10.8,,,,,
118,05/20/21 01:56:06 AM,-1.228,10.8,,,,,
119,05/20/21 02:26:06 AM,-1.456,53.8,,,,,
120,05/20/21 02:56:06 AM,-1.341,129.2,,,,,
121,05/20/21 03:26:06 AM,-1.114,322.9,,,,,
122,05/20/21 03:56:06 AM,-1.570,710.4,,,,,
123,05/20/21 04:26:06 AM,-1.114,1194.8,,,,,
124,05/20/21 04:56:06 AM,-1.114,1980.6,,,,,
125,05/20/21 05:26:06 AM,-1.228,2755.6,,,,,
126,05/20/21 05:56:06 AM,-1.114,3616.7,,,,,
127,05/20/21 06:26:06 AM,-1.001,7233.4,,,,,
128,05/20/21 06:56:06 AM,-0.437,9644.5,,,,,
129,05/20/21 07:26:06 AM,-0.102,11711.2,,,,,
130,05/20/21 07:56:06 AM,0.784,23422.4,,,,,
131,05/20/21 08:26:06 AM,1.980,28933.5,,,,,
132,05/20/21 08:56:06 AM,3.261,44089.2,,,,,
133,05/20/21 09:26:06 AM,4.519,79911.6,,,,,
134,05/20/21 09:56:06 AM,12.690,88178.4,,,,,
135,05/20/21 10:26:06 AM,14.038,154312.1,,,,,
136,05/20/21 10:56:06 AM,14.709,132267.5,,,,,
137,05/20/21 11:26:06 AM,16.523,115734.1,,,,,
138,05/20/21 11:56:06 AM,14.613,104711.8,,,,,
139,05/20/21 12:26:06 PM,17.760,115734.1,,,,,
140,05/20/21 12:56:06 PM,18.426,93689.5,,,,,
141,05/20/21 01:26:06 PM,20.901,88178.4,,,,,
142,05/20/21 01:56:06 PM,21.091,198401.3,,,,,
143,05/20/21 02:26:06 PM,14.900,187379.0,,,,,
144,05/20/21 02:56:06 PM,17.094,126756.4,,,,,
145,05/20/21 03:26:06 PM,17.094,159823.3,,,,,
146,05/20/21 03:56:06 PM,14.230,176356.7,,,,,
147,05/20/21 04:26:06 PM,15.855,93689.5,,,,,
148,05/20/21 04:56:06 PM,12.497,121245.2,,,,,
149,05/20/21 05:26:06 PM,10.259,115734.1,,,,,
150,05/20/21 05:56:06 PM,8.978,74400.5,,,,,
151,05/20/21 06:26:06 PM,8.082,137778.7,,,,,
152,05/20/21 06:56:06 PM,7.582,126756.4,,,,,
153,05/20/21 07:26:06 PM,7.882,24800.2,,,,,
154,05/20/21 07:56:06 PM,5.037,21355.7,,,,,
155,05/20/21 08:26:06 PM,3.578,12400.1,,,,,
156,05/20/21 08:56:06 PM,2.624,12400.1,,,,,
157,05/20/21 09:26:06 PM,2.517,8611.2,,,,,
158,05/20/21 09:56:06 PM,1.439,2927.8,,,,,
159,05/20/21 10:26:06 PM,1.003,2669.5,,,,,
160,05/20/21 10:56:06 PM,0.893,947.2,,,,,
161,05/20/21 11:26:06 PM,0.674,731.9,,,,,
