"Plot Title: MD_Reyk_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Bad Battery (LGR S/N: 10517223)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
110,06/18/19 17:30:00,12.110,516.7,,,,,
111,06/18/19 18:00:00,12.013,366.0,,,,,
112,06/18/19 18:30:00,12.013,355.2,,,,,
113,06/18/19 19:00:00,12.013,441.3,,,,,
114,06/18/19 19:30:00,12.110,333.7,,,,,
115,06/18/19 20:00:00,12.207,312.2,,,,,
116,06/18/19 20:30:00,12.013,215.3,,,,,
117,06/18/19 21:00:00,12.013,161.5,,,,,
118,06/18/19 21:30:00,12.013,75.3,,,,,
119,06/18/19 22:00:00,11.819,21.5,,,,,
120,06/18/19 22:30:00,11.722,32.3,,,,,
121,06/18/19 23:00:00,11.722,10.8,,,,,
122,06/18/19 23:30:00,11.722,0.0,,,,,
123,06/19/19 00:00:00,11.625,0.0,,,,,
124,06/19/19 00:30:00,11.528,0.0,,,,,
125,06/19/19 01:00:00,11.431,0.0,,,,,
126,06/19/19 01:30:00,11.431,0.0,,,,,
127,06/19/19 02:00:00,11.431,0.0,,,,,
128,06/19/19 02:30:00,11.431,0.0,,,,,
129,06/19/19 03:00:00,11.431,10.8,,,,,
130,06/19/19 03:30:00,11.431,0.0,,,,,
131,06/19/19 04:00:00,11.334,21.5,,,,,
132,06/19/19 04:30:00,11.236,32.3,,,,,
133,06/19/19 05:00:00,11.139,64.6,,,,,
134,06/19/19 05:30:00,11.139,86.1,,,,,
135,06/19/19 06:00:00,11.139,172.2,,,,,
136,06/19/19 06:30:00,11.139,236.8,,,,,
137,06/19/19 07:00:00,11.139,215.3,,,,,
138,06/19/19 07:30:00,11.139,366.0,,,,,
139,06/19/19 08:00:00,11.139,398.3,,,,,
140,06/19/19 08:30:00,11.139,1065.6,,,,,
141,06/19/19 09:00:00,11.139,1334.7,,,,,
142,06/19/19 09:30:00,11.139,473.6,,,,,
143,06/19/19 10:00:00,11.139,538.2,,,,,
144,06/19/19 10:30:00,11.041,1205.6,,,,,
145,06/19/19 11:00:00,11.041,968.8,,,,,
146,06/19/19 11:30:00,11.041,1022.6,,,,,
147,06/19/19 12:00:00,11.041,947.2,,,,,
148,06/19/19 12:30:00,10.944,861.1,,,,,
149,06/19/19 13:00:00,11.041,1377.8,,,,,
150,06/19/19 13:30:00,11.041,1054.9,,,,,
151,06/19/19 14:00:00,11.139,958.0,,,,,
152,06/19/19 14:30:00,11.139,731.9,,,,,
153,06/19/19 15:00:00,11.041,785.8,,,,,
154,06/19/19 15:30:00,11.139,839.6,,,,,
155,06/19/19 16:00:00,11.041,1141.0,,,,,
156,06/19/19 16:30:00,11.139,1087.2,,,,,
157,06/19/19 17:00:00,11.139,1636.1,,,,,
158,06/19/19 17:30:00,11.139,1076.4,,,,,
159,06/19/19 18:00:00,11.041,850.4,,,,,
160,06/19/19 18:30:00,11.041,710.4,,,,,
161,06/19/19 19:00:00,11.041,645.8,,,,,
162,06/19/19 19:30:00,11.139,613.5,,,,,
163,06/19/19 20:00:00,11.139,462.9,,,,,
164,06/19/19 20:30:00,11.139,312.2,,,,,
165,06/19/19 21:00:00,11.139,269.1,,,,,
166,06/19/19 21:30:00,11.139,118.4,,,,,
167,06/19/19 22:00:00,11.139,64.6,,,,,
168,06/19/19 22:30:00,11.139,21.5,,,,,
169,06/19/19 23:00:00,11.139,0.0,,,,,
170,06/19/19 23:30:00,11.041,0.0,,,,,
171,06/20/19 00:00:00,11.041,0.0,,,,,
172,06/20/19 00:30:00,11.041,0.0,,,,,
173,06/20/19 01:00:00,10.944,0.0,,,,,
174,06/20/19 01:30:00,10.944,0.0,,,,,
175,06/20/19 02:00:00,10.846,0.0,,,,,
176,06/20/19 02:30:00,10.846,0.0,,,,,
177,06/20/19 03:00:00,10.846,0.0,,,,,
178,06/20/19 03:30:00,10.846,0.0,,,,,
179,06/20/19 04:00:00,10.846,0.0,,,,,
180,06/20/19 04:30:00,10.748,10.8,,,,,
181,06/20/19 05:00:00,10.651,10.8,,,,,
182,06/20/19 05:30:00,10.651,32.3,,,,,
183,06/20/19 06:00:00,10.553,53.8,,,,,
184,06/20/19 06:30:00,10.553,86.1,,,,,
185,06/20/19 07:00:00,10.553,86.1,,,,,
186,06/20/19 07:30:00,10.553,150.7,,,,,
187,06/20/19 08:00:00,10.553,204.5,,,,,
188,06/20/19 08:30:00,10.651,236.8,,,,,
189,06/20/19 09:00:00,10.651,322.9,,,,,
190,06/20/19 09:30:00,10.651,258.3,,,,,
191,06/20/19 10:00:00,10.553,409.0,,,,,
192,06/20/19 10:30:00,10.553,559.7,,,,,
193,06/20/19 11:00:00,10.651,871.9,,,,,
194,06/20/19 11:30:00,10.553,473.6,,,,,
195,06/20/19 12:00:00,10.553,818.1,,,,,
196,06/20/19 12:30:00,10.553,452.1,,,,,
197,06/20/19 13:00:00,10.553,355.2,,,,,
198,06/20/19 13:30:00,10.651,549.0,,,,,
199,06/20/19 14:00:00,10.651,484.4,,,,,
200,06/20/19 14:30:00,10.651,667.4,,,,,
201,06/20/19 15:00:00,10.651,742.7,,,,,
202,06/20/19 15:30:00,10.748,796.5,,,,,
203,06/20/19 16:00:00,10.748,721.2,,,,,
204,06/20/19 16:30:00,10.748,355.2,,,,,
205,06/20/19 17:00:00,10.748,322.9,,,,,
206,06/20/19 17:30:00,10.748,279.9,,,,,
207,06/20/19 18:00:00,10.846,376.7,,,,,
208,06/20/19 18:30:00,10.846,226.0,,,,,
209,06/20/19 19:00:00,10.846,193.8,,,,,
210,06/20/19 19:30:00,10.846,139.9,,,,,
211,06/20/19 20:00:00,10.846,86.1,,,,,
212,06/20/19 20:30:00,10.846,64.6,,,,,
213,06/20/19 21:00:00,10.846,64.6,,,,,
214,06/20/19 21:30:00,10.846,43.1,,,,,
215,06/20/19 22:00:00,10.846,10.8,,,,,
216,06/20/19 22:30:00,10.846,0.0,,,,,
217,06/20/19 23:00:00,10.846,0.0,,,,,
218,06/20/19 23:30:00,10.846,0.0,,,,,
219,06/21/19 00:00:00,10.748,0.0,,,,,
220,06/21/19 00:30:00,10.748,0.0,,,,,
221,06/21/19 01:00:00,10.748,0.0,,,,,
222,06/21/19 01:30:00,10.748,0.0,,,,,
223,06/21/19 02:00:00,10.748,0.0,,,,,
224,06/21/19 02:30:00,10.748,0.0,,,,,
225,06/21/19 03:00:00,10.748,0.0,,,,,
226,06/21/19 03:30:00,10.748,0.0,,,,,
227,06/21/19 04:00:00,10.748,10.8,,,,,
228,06/21/19 04:30:00,10.748,43.1,,,,,
229,06/21/19 05:00:00,10.748,64.6,,,,,
230,06/21/19 05:30:00,10.748,75.3,,,,,
231,06/21/19 06:00:00,10.748,96.9,,,,,
232,06/21/19 06:30:00,10.748,96.9,,,,,
233,06/21/19 07:00:00,10.748,129.2,,,,,
234,06/21/19 07:30:00,10.748,139.9,,,,,
235,06/21/19 08:00:00,10.748,215.3,,,,,
236,06/21/19 08:30:00,10.748,215.3,,,,,
237,06/21/19 09:00:00,10.748,344.4,,,,,
238,06/21/19 09:30:00,10.748,387.5,,,,,
