"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
123,06/10/14 23:00:00,12.497,2325.0,,
124,06/10/14 23:30:00,12.013,1722.2,,
125,06/11/14 00:00:00,11.236,1184.0,,
126,06/11/14 00:30:00,10.651,871.9,,
127,06/11/14 01:00:00,10.748,247.6,,
128,06/11/14 01:30:00,10.455,236.8,,
129,06/11/14 02:00:00,10.161,247.6,,
130,06/11/14 02:30:00,10.259,430.6,,
131,06/11/14 03:00:00,10.259,581.3,,
132,06/11/14 03:30:00,10.357,1011.8,,
133,06/11/14 04:00:00,10.259,1808.3,,
134,06/11/14 04:30:00,10.259,1808.3,,
135,06/11/14 05:00:00,10.161,2066.7,,
136,06/11/14 05:30:00,10.161,1808.3,,
137,06/11/14 06:00:00,10.455,1722.2,,
138,06/11/14 06:30:00,10.259,2497.2,,
139,06/11/14 07:00:00,10.455,4822.3,,
140,06/11/14 07:30:00,11.041,8266.7,,
141,06/11/14 08:00:00,12.207,22044.6,,
142,06/11/14 08:30:00,12.110,19289.0,,
143,06/11/14 09:00:00,11.625,11022.3,,
144,06/11/14 09:30:00,11.819,19977.9,,
145,06/11/14 10:00:00,11.431,14466.8,,
146,06/11/14 10:30:00,12.110,26178.0,,
147,06/11/14 11:00:00,12.110,26178.0,,
148,06/11/14 11:30:00,12.787,27555.7,,
149,06/11/14 12:00:00,12.690,26178.0,,
150,06/11/14 12:30:00,12.690,26178.0,,
151,06/11/14 13:00:00,14.325,46844.8,,
152,06/11/14 13:30:00,13.846,44089.2,,
153,06/11/14 14:00:00,14.038,35822.5,,
154,06/11/14 14:30:00,14.134,38578.0,,
155,06/11/14 15:00:00,14.613,28933.5,,
156,06/11/14 15:30:00,13.846,37200.2,,
157,06/11/14 16:00:00,12.690,22044.6,,
158,06/11/14 16:30:00,12.594,22044.6,,
159,06/11/14 17:00:00,12.594,28933.5,,
160,06/11/14 17:30:00,12.110,20666.8,,
161,06/11/14 18:00:00,11.334,9644.5,,
162,06/11/14 18:30:00,11.625,17911.2,,
163,06/11/14 19:00:00,11.722,13089.0,,
164,06/11/14 19:30:00,10.846,6200.0,,
165,06/11/14 20:00:00,10.553,7577.8,,
166,06/11/14 20:30:00,10.357,7233.4,,
167,06/11/14 21:00:00,10.063,5338.9,,
168,06/11/14 21:30:00,9.669,3272.2,,
169,06/11/14 22:00:00,9.472,2755.6,,
170,06/11/14 22:30:00,9.077,1550.0,,
171,06/11/14 23:00:00,8.978,753.5,,
172,06/11/14 23:30:00,8.680,312.2,,
173,06/12/14 00:00:00,9.176,226.0,,
174,06/12/14 00:30:00,8.779,150.7,,
175,06/12/14 01:00:00,8.879,139.9,,
176,06/12/14 01:30:00,8.879,150.7,,
177,06/12/14 02:00:00,8.680,183.0,,
178,06/12/14 02:30:00,8.680,290.6,,
179,06/12/14 03:00:00,8.680,516.7,,
180,06/12/14 03:30:00,8.680,947.2,,
181,06/12/14 04:00:00,8.978,2669.5,,
182,06/12/14 04:30:00,9.472,5166.7,,
183,06/12/14 05:00:00,10.063,9300.1,,
184,06/12/14 05:30:00,20.615,34444.7,,
185,06/12/14 06:00:00,20.710,49600.3,,
186,06/12/14 06:30:00,23.966,93689.5,,
187,06/12/14 07:00:00,23.388,79911.6,,
188,06/12/14 07:30:00,24.835,110223.0,,
189,06/12/14 08:00:00,25.319,126756.4,,
190,06/12/14 08:30:00,25.319,137778.7,,
191,06/12/14 09:00:00,27.764,154312.1,,
192,06/12/14 09:30:00,24.931,154312.1,,
193,06/12/14 10:00:00,25.125,176356.7,,
194,06/12/14 10:30:00,26.879,176356.7,,
195,06/12/14 11:00:00,33.535,176356.7,,
196,06/12/14 11:30:00,46.083,176356.7,,
197,06/12/14 12:00:00,40.876,165334.4,,
198,06/12/14 12:30:00,40.415,137778.7,,
199,06/12/14 13:00:00,47.109,110223.0,,
200,06/12/14 13:30:00,44.211,77156.1,,
201,06/12/14 14:00:00,43.238,60622.6,,
202,06/12/14 14:30:00,31.472,52355.9,,
203,06/12/14 15:00:00,25.610,49600.3,,
204,06/12/14 15:30:00,22.238,44089.2,,
205,06/12/14 16:00:00,21.855,46844.8,,
206,06/12/14 16:30:00,21.378,34444.7,,
207,06/12/14 17:00:00,23.869,176356.7,,
208,06/12/14 17:30:00,23.773,148801.0,,
209,06/12/14 18:00:00,22.333,35822.5,,
210,06/12/14 18:30:00,19.948,44089.2,,
211,06/12/14 19:00:00,20.996,57867.0,,
212,06/12/14 19:30:00,19.758,66133.8,,
213,06/12/14 20:00:00,18.426,10677.8,,
214,06/12/14 20:30:00,18.521,12400.1,,
215,06/12/14 21:00:00,17.570,3961.1,,
216,06/12/14 21:30:00,16.332,3616.7,,
217,06/12/14 22:00:00,14.996,3272.2,,
218,06/12/14 22:30:00,14.421,2669.5,,
219,06/12/14 23:00:00,13.750,1722.2,,
220,06/12/14 23:30:00,13.461,1302.4,,
221,06/13/14 00:00:00,12.497,731.9,,
222,06/13/14 00:30:00,11.236,656.6,,
223,06/13/14 01:00:00,10.748,678.1,,
224,06/13/14 01:30:00,9.571,818.1,,
225,06/13/14 02:00:00,9.965,1087.2,,
226,06/13/14 02:30:00,8.779,1463.9,,
227,06/13/14 03:00:00,9.571,11022.3,,
228,06/13/14 03:30:00,11.819,26178.0,,
229,06/13/14 04:00:00,13.173,34444.7,,
230,06/13/14 04:30:00,15.760,57867.0,,
231,06/13/14 05:00:00,19.282,77156.1,,
232,06/13/14 05:30:00,16.713,68889.3,,
233,06/13/14 06:00:00,18.045,93689.5,,
234,06/13/14 06:30:00,19.092,79911.6,,
235,06/13/14 07:00:00,20.519,55111.5,,
236,06/13/14 07:30:00,22.238,88178.4,,
237,06/13/14 08:00:00,23.581,121245.2,,
238,06/13/14 08:30:00,23.100,132267.5,,
239,06/13/14 09:00:00,23.004,49600.3,,
240,06/13/14 09:30:00,20.996,154312.1,,
241,06/13/14 10:00:00,22.908,52355.9,,
242,06/13/14 10:30:00,23.196,115734.1,,
243,06/13/14 11:00:00,23.581,104711.8,,
244,06/13/14 11:30:00,19.948,52355.9,,
