"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
105,07/30/20 16:00:00,11.431,5338.9,,,,,,
106,07/30/20 16:30:00,12.497,2755.6,,,,,,
107,07/30/20 17:00:00,12.304,3272.2,,,,,,
108,07/30/20 17:30:00,12.207,3961.1,,,,,,
109,07/30/20 18:00:00,12.110,3961.1,,,,,,
110,07/30/20 18:30:00,12.110,3272.2,,,,,,
111,07/30/20 19:00:00,12.110,3444.5,,,,,,
112,07/30/20 19:30:00,11.819,3272.2,,,,,,
113,07/30/20 20:00:00,11.819,2497.2,,,,,,
114,07/30/20 20:30:00,11.431,1463.9,,,,,,
115,07/30/20 21:00:00,11.625,366.0,,,,,,
116,07/30/20 21:30:00,11.722,75.3,,,,,,
117,07/30/20 22:00:00,12.013,107.6,,,,,,
118,07/30/20 22:30:00,11.819,118.4,,,,,,
119,07/30/20 23:00:00,11.625,21.5,,,,,,
120,07/30/20 23:30:00,11.625,0.0,,,,,,
121,07/31/20 00:00:00,11.625,0.0,,,,,,
122,07/31/20 00:30:00,11.625,0.0,,,,,,
123,07/31/20 01:00:00,11.722,0.0,,,,,,
124,07/31/20 01:30:00,11.819,0.0,,,,,,
125,07/31/20 02:00:00,11.819,0.0,,,,,,
126,07/31/20 02:30:00,11.819,0.0,,,,,,
127,07/31/20 03:00:00,11.819,0.0,,,,,,
128,07/31/20 03:30:00,11.722,32.3,,,,,,
129,07/31/20 04:00:00,11.528,129.2,,,,,,
130,07/31/20 04:30:00,11.528,269.1,,,,,,
131,07/31/20 05:00:00,11.334,484.4,,,,,,
132,07/31/20 05:30:00,11.236,764.2,,,,,,
133,07/31/20 06:00:00,11.139,1141.0,,,,,,
134,07/31/20 06:30:00,11.139,2497.2,,,,,,
135,07/31/20 07:00:00,11.041,1636.1,,,,,,
136,07/31/20 07:30:00,11.041,2066.7,,,,,,
137,07/31/20 08:00:00,10.944,1173.3,,,,,,
138,07/31/20 08:30:00,10.944,871.9,,,,,,
139,07/31/20 09:00:00,10.944,1377.8,,,,,,
140,07/31/20 09:30:00,10.944,968.8,,,,,,
141,07/31/20 10:00:00,10.944,1334.7,,,,,,
142,07/31/20 10:30:00,10.944,2583.4,,,,,,
143,07/31/20 11:00:00,10.944,2755.6,,,,,,
144,07/31/20 11:30:00,10.944,1550.0,,,,,,
145,07/31/20 12:00:00,10.846,1808.3,,,,,,
146,07/31/20 12:30:00,10.846,1141.0,,,,,,
147,07/31/20 13:00:00,10.846,1463.9,,,,,,
148,07/31/20 13:30:00,10.944,4305.6,,,,,,
149,07/31/20 14:00:00,11.236,7233.4,,,,,,
150,07/31/20 14:30:00,11.431,3100.0,,,,,,
151,07/31/20 15:00:00,11.431,1808.3,,,,,,
152,07/31/20 15:30:00,11.139,8266.7,,,,,,
153,07/31/20 16:00:00,10.944,3961.1,,,,,,
154,07/31/20 16:30:00,11.139,8611.2,,,,,,
155,07/31/20 17:00:00,11.139,5166.7,,,,,,
156,07/31/20 17:30:00,11.139,5338.9,,,,,,
157,07/31/20 18:00:00,11.041,904.2,,,,,,
158,07/31/20 18:30:00,11.041,1636.1,,,,,,
159,07/31/20 19:00:00,11.041,1550.0,,,,,,
160,07/31/20 19:30:00,11.041,1980.6,,,,,,
161,07/31/20 20:00:00,11.041,592.0,,,,,,
162,07/31/20 20:30:00,11.041,1205.6,,,,,,
163,07/31/20 21:00:00,11.041,775.0,,,,,,
164,07/31/20 21:30:00,11.041,118.4,,,,,,
165,07/31/20 22:00:00,11.041,75.3,,,,,,
166,07/31/20 22:30:00,11.139,10.8,,,,,,
167,07/31/20 23:00:00,11.041,0.0,,,,,,
168,07/31/20 23:30:00,11.139,0.0,,,,,,
169,08/01/20 00:00:00,11.139,0.0,,,,,,
170,08/01/20 00:30:00,11.139,0.0,,,,,,
171,08/01/20 01:00:00,11.139,0.0,,,,,,
172,08/01/20 01:30:00,11.139,0.0,,,,,,
173,08/01/20 02:00:00,11.139,0.0,,,,,,
174,08/01/20 02:30:00,11.041,0.0,,,,,,
175,08/01/20 03:00:00,11.041,0.0,,,,,,
176,08/01/20 03:30:00,11.139,0.0,,,,,,
177,08/01/20 04:00:00,11.041,269.1,,,,,,
178,08/01/20 04:30:00,11.139,322.9,,,,,,
179,08/01/20 05:00:00,11.139,602.8,,,,,,
180,08/01/20 05:30:00,11.139,742.7,,,,,,
181,08/01/20 06:00:00,11.236,667.4,,,,,,
