"Plot Title: MD_e6_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Coupler Attached (LGR S/N: 10517215)","Host Connected (LGR S/N: 10517215)","Coupler Detached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
110,06/10/21 02:30:00,10.651,32.3,,,,,
111,06/10/21 03:30:00,10.651,236.8,,,,,
112,06/10/21 04:30:00,10.651,764.2,,,,,
113,06/10/21 05:30:00,10.651,2755.6,,,,,
114,06/10/21 06:30:00,10.651,3272.2,,,,,
115,06/10/21 07:30:00,10.748,6544.5,,,,,
116,06/10/21 08:30:00,10.651,4650.0,,,,,
117,06/10/21 09:30:00,10.748,6544.5,,,,,
118,06/10/21 10:30:00,10.651,4822.3,,,,,
119,06/10/21 11:30:00,11.139,38578.0,,,,,
120,06/10/21 12:30:00,11.041,15155.7,,,,,
121,06/10/21 13:30:00,11.139,11711.2,,,,,
122,06/10/21 14:30:00,11.528,27555.7,,,,,
123,06/10/21 15:30:00,11.625,7233.4,,,,,
124,06/10/21 16:30:00,11.334,19977.9,,,,,
125,06/10/21 17:30:00,11.236,8266.7,,,,,
126,06/10/21 18:30:00,10.944,4133.4,,,,,
127,06/10/21 19:30:00,10.846,5166.7,,,,,
128,06/10/21 20:30:00,10.846,2238.9,,,,,
129,06/10/21 21:30:00,10.846,2755.6,,,,,
130,06/10/21 22:30:00,10.846,387.5,,,,,
131,06/10/21 23:30:00,10.748,118.4,,,,,
132,06/11/21 00:30:00,10.748,75.3,,,,,
133,06/11/21 01:30:00,10.651,32.3,,,,,
134,06/11/21 02:30:00,10.651,0.0,,,,,
135,06/11/21 03:30:00,10.553,96.9,,,,,
136,06/11/21 04:30:00,10.455,129.2,,,,,
137,06/11/21 05:30:00,10.357,452.1,,,,,
138,06/11/21 06:30:00,10.357,1377.8,,,,,
139,06/11/21 07:30:00,10.259,2066.7,,,,,
140,06/11/21 08:30:00,10.455,5166.7,,,,,
141,06/11/21 09:30:00,10.455,4305.6,,,,,
142,06/11/21 10:30:00,10.651,10677.8,,,,,
143,06/11/21 11:30:00,10.553,9644.5,,,,,
144,06/11/21 12:30:00,10.651,9644.5,,,,,
145,06/11/21 13:30:00,10.748,14466.8,,,,,
