"Plot Title: md_st33_benthic_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Temperature)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Light)","Coupler Attached (LGR S/N: 10349961)","Host Connected (LGR S/N: 10349961)","Stopped (LGR S/N: 10349961)","End Of File (LGR S/N: 10349961)"
115,06/15/19 23:00:00,12.304,290.6,,,,
116,06/15/19 23:30:00,12.304,139.9,,,,
117,06/16/19 00:00:00,12.207,96.9,,,,
118,06/16/19 00:30:00,12.207,43.1,,,,
119,06/16/19 01:00:00,12.207,32.3,,,,
120,06/16/19 01:30:00,12.207,43.1,,,,
121,06/16/19 02:00:00,12.207,86.1,,,,
122,06/16/19 02:30:00,12.207,107.6,,,,
123,06/16/19 03:00:00,12.207,172.2,,,,
124,06/16/19 03:30:00,12.207,247.6,,,,
125,06/16/19 04:00:00,12.207,376.7,,,,
126,06/16/19 04:30:00,12.207,871.9,,,,
127,06/16/19 05:00:00,12.207,1377.8,,,,
128,06/16/19 05:30:00,12.207,1463.9,,,,
129,06/16/19 06:00:00,12.207,2497.2,,,,
130,06/16/19 06:30:00,12.304,2411.1,,,,
131,06/16/19 07:00:00,12.304,2755.6,,,,
132,06/16/19 07:30:00,12.304,3788.9,,,,
133,06/16/19 08:00:00,12.304,3272.2,,,,
134,06/16/19 08:30:00,12.401,4650.0,,,,
135,06/16/19 09:00:00,12.497,5166.7,,,,
136,06/16/19 09:30:00,12.497,5166.7,,,,
137,06/16/19 10:00:00,12.497,2411.1,,,,
138,06/16/19 10:30:00,12.594,7233.4,,,,
139,06/16/19 11:00:00,12.594,7233.4,,,,
140,06/16/19 11:30:00,12.594,6544.5,,,,
141,06/16/19 12:00:00,12.690,7233.4,,,,
142,06/16/19 12:30:00,12.690,7233.4,,,,
143,06/16/19 13:00:00,12.690,7577.8,,,,
144,06/16/19 13:30:00,12.690,10333.4,,,,
145,06/16/19 14:00:00,12.980,8266.7,,,,
146,06/16/19 14:30:00,12.883,6200.0,,,,
147,06/16/19 15:00:00,12.980,5511.1,,,,
148,06/16/19 15:30:00,13.173,8611.2,,,,
149,06/16/19 16:00:00,13.269,7233.4,,,,
150,06/16/19 16:30:00,13.365,6200.0,,,,
151,06/16/19 17:00:00,13.269,3788.9,,,,
152,06/16/19 17:30:00,13.269,4994.5,,,,
153,06/16/19 18:00:00,13.269,5166.7,,,,
154,06/16/19 18:30:00,13.269,3272.2,,,,
155,06/16/19 19:00:00,13.269,3788.9,,,,
