"Plot Title: e3_1m_19Jun221"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419460, SEN S/N: 10419460, LBL: temp)","Intensity, Lux (LGR S/N: 10419460, SEN S/N: 10419460, LBL: light)","Coupler Attached (LGR S/N: 10419460)","Stopped (LGR S/N: 10419460)","End Of File (LGR S/N: 10419460)"
119,06/24/21 08:00:00,9.077,13089.0,,,
120,06/24/21 09:00:00,9.275,18600.1,,,
121,06/24/21 10:00:00,9.472,26178.0,,,
122,06/24/21 11:00:00,9.669,30311.3,,,
123,06/24/21 12:00:00,9.768,35822.5,,,
124,06/24/21 13:00:00,10.063,26178.0,,,
125,06/24/21 14:00:00,10.161,33066.9,,,
126,06/24/21 15:00:00,10.357,22044.6,,,
127,06/24/21 16:00:00,10.357,24800.2,,,
128,06/24/21 17:00:00,10.259,13089.0,,,
129,06/24/21 18:00:00,10.063,5166.7,,,
130,06/24/21 19:00:00,10.063,4305.6,,,
131,06/24/21 20:00:00,9.965,1636.1,,,
132,06/24/21 21:00:00,9.965,893.4,,,
133,06/24/21 22:00:00,9.965,495.1,,,
134,06/24/21 23:00:00,9.866,86.1,,,
135,06/25/21 00:00:00,9.866,21.5,,,
136,06/25/21 01:00:00,9.768,0.0,,,
137,06/25/21 02:00:00,9.768,0.0,,,
138,06/25/21 03:00:00,9.669,0.0,,,
139,06/25/21 04:00:00,9.669,21.5,,,
140,06/25/21 05:00:00,9.669,21.5,,,
141,06/25/21 06:00:00,9.571,204.5,,,
142,06/25/21 07:00:00,9.571,172.2,,,
143,06/25/21 08:00:00,9.472,398.3,,,
144,06/25/21 09:00:00,9.472,312.2,,,
145,06/25/21 10:00:00,9.472,699.7,,,
146,06/25/21 11:00:00,9.669,678.1,,,
147,06/25/21 12:00:00,9.669,688.9,,,
148,06/25/21 13:00:00,9.669,64.6,,,
149,06/25/21 14:00:00,9.768,301.4,,,
150,06/25/21 15:00:00,9.768,118.4,,,
151,06/25/21 16:00:00,9.965,118.4,,,
152,06/25/21 17:00:00,9.965,21.5,,,
153,06/25/21 18:00:00,9.965,10.8,,,
154,06/25/21 19:00:00,9.965,107.6,,,
155,06/25/21 20:00:00,10.063,1162.5,,,
156,06/25/21 21:00:00,10.063,172.2,,,
157,06/25/21 22:00:00,9.965,53.8,,,
158,06/25/21 23:00:00,9.866,0.0,,,
159,06/26/21 00:00:00,9.669,0.0,,,
160,06/26/21 01:00:00,9.669,0.0,,,
161,06/26/21 02:00:00,9.571,0.0,,,
162,06/26/21 03:00:00,9.472,0.0,,,
163,06/26/21 04:00:00,9.373,0.0,,,
164,06/26/21 05:00:00,9.373,21.5,,,
165,06/26/21 06:00:00,9.373,161.5,,,
166,06/26/21 07:00:00,9.472,129.2,,,
167,06/26/21 08:00:00,9.472,333.7,,,
168,06/26/21 09:00:00,9.571,549.0,,,
169,06/26/21 10:00:00,9.669,1097.9,,,
170,06/26/21 11:00:00,9.768,1367.0,,,
171,06/26/21 12:00:00,9.866,1054.9,,,
172,06/26/21 13:00:00,9.965,2325.0,,,
173,06/26/21 14:00:00,10.161,2927.8,,,
174,06/26/21 15:00:00,10.357,4822.3,,,
175,06/26/21 16:00:00,10.455,5166.7,,,
176,06/26/21 17:00:00,10.553,3100.0,,,
177,06/26/21 18:00:00,10.651,4133.4,,,
178,06/26/21 19:00:00,10.651,4133.4,,,
179,06/26/21 20:00:00,10.553,2669.5,,,
180,06/26/21 21:00:00,10.553,1162.5,,,
181,06/26/21 22:00:00,10.553,592.0,,,
182,06/26/21 23:00:00,10.553,247.6,,,
183,06/27/21 00:00:00,10.553,75.3,,,
184,06/27/21 01:00:00,10.553,21.5,,,
185,06/27/21 02:00:00,10.553,21.5,,,
186,06/27/21 03:00:00,10.455,53.8,,,
187,06/27/21 04:00:00,10.455,204.5,,,
188,06/27/21 05:00:00,10.455,731.9,,,
189,06/27/21 06:00:00,10.455,1808.3,,,
190,06/27/21 07:00:00,10.553,3100.0,,,
191,06/27/21 08:00:00,10.651,3272.2,,,
192,06/27/21 09:00:00,10.651,3616.7,,,
193,06/27/21 10:00:00,10.748,5166.7,,,
194,06/27/21 11:00:00,10.944,6544.5,,,
195,06/27/21 12:00:00,11.041,6200.0,,,
196,06/27/21 13:00:00,11.139,9300.1,,,
197,06/27/21 14:00:00,11.139,8266.7,,,
198,06/27/21 15:00:00,11.139,5166.7,,,
199,06/27/21 16:00:00,11.139,4133.4,,,
200,06/27/21 17:00:00,11.041,2927.8,,,
201,06/27/21 18:00:00,11.625,5166.7,,,
202,06/27/21 19:00:00,11.625,4650.0,,,
203,06/27/21 20:00:00,11.528,4133.4,,,
204,06/27/21 21:00:00,11.334,2152.8,,,
205,06/27/21 22:00:00,11.236,1227.1,,,
206,06/27/21 23:00:00,11.236,592.0,,,
207,06/28/21 00:00:00,11.139,150.7,,,
208,06/28/21 01:00:00,11.139,75.3,,,
209,06/28/21 02:00:00,11.139,86.1,,,
210,06/28/21 03:00:00,11.139,107.6,,,
211,06/28/21 04:00:00,11.139,172.2,,,
212,06/28/21 05:00:00,11.139,247.6,,,
213,06/28/21 06:00:00,11.139,387.5,,,
214,06/28/21 07:00:00,11.139,871.9,,,
215,06/28/21 08:00:00,11.236,2755.6,,,
216,06/28/21 09:00:00,11.236,3616.7,,,
217,06/28/21 10:00:00,11.334,3961.1,,,
218,06/28/21 11:00:00,11.334,2927.8,,,
219,06/28/21 12:00:00,11.334,2927.8,,,
220,06/28/21 13:00:00,11.431,4305.6,,,
221,06/28/21 14:00:00,11.625,8266.7,,,
222,06/28/21 15:00:00,11.916,11711.2,,,
223,06/28/21 16:00:00,12.013,9644.5,,,
224,06/28/21 17:00:00,11.916,6200.0,,,
225,06/28/21 18:00:00,11.916,5166.7,,,
226,06/28/21 19:00:00,11.819,4305.6,,,
227,06/28/21 20:00:00,12.013,2066.7,,,
228,06/28/21 21:00:00,11.819,2669.5,,,
229,06/28/21 22:00:00,11.722,656.6,,,
230,06/28/21 23:00:00,11.625,236.8,,,
231,06/29/21 00:00:00,11.625,64.6,,,
232,06/29/21 01:00:00,11.625,53.8,,,
233,06/29/21 02:00:00,11.625,43.1,,,
234,06/29/21 03:00:00,11.528,150.7,,,
235,06/29/21 04:00:00,11.528,613.5,,,
236,06/29/21 05:00:00,11.528,710.4,,,
237,06/29/21 06:00:00,11.528,710.4,,,
238,06/29/21 07:00:00,11.625,1980.6,,,
239,06/29/21 08:00:00,11.625,2927.8,,,
