"Plot Title: MD_Grim_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)","Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10517221)","Host Connected (LGR S/N: 10517221)","Stopped (LGR S/N: 10517221)","End Of File (LGR S/N: 10517221)"
113,06/18/19 19:00:00,12.401,2583.4,,,,
114,06/18/19 19:30:00,12.304,1894.5,,,,
115,06/18/19 20:00:00,12.304,2066.7,,,,
116,06/18/19 20:30:00,12.304,1636.1,,,,
117,06/18/19 21:00:00,12.207,1377.8,,,,
118,06/18/19 21:30:00,12.110,505.9,,,,
119,06/18/19 22:00:00,12.110,344.4,,,,
120,06/18/19 22:30:00,12.110,333.7,,,,
121,06/18/19 23:00:00,12.110,150.7,,,,
122,06/18/19 23:30:00,12.013,86.1,,,,
123,06/19/19 00:00:00,12.013,75.3,,,,
124,06/19/19 00:30:00,12.013,64.6,,,,
125,06/19/19 01:00:00,11.916,53.8,,,,
126,06/19/19 01:30:00,11.916,53.8,,,,
127,06/19/19 02:00:00,11.916,64.6,,,,
128,06/19/19 02:30:00,11.819,75.3,,,,
129,06/19/19 03:00:00,11.819,107.6,,,,
130,06/19/19 03:30:00,11.819,150.7,,,,
131,06/19/19 04:00:00,11.819,183.0,,,,
132,06/19/19 04:30:00,11.819,376.7,,,,
133,06/19/19 05:00:00,11.819,731.9,,,,
134,06/19/19 05:30:00,11.722,710.4,,,,
135,06/19/19 06:00:00,11.722,1065.6,,,,
136,06/19/19 06:30:00,11.722,1894.5,,,,
137,06/19/19 07:00:00,11.722,1808.3,,,,
138,06/19/19 07:30:00,11.722,1636.1,,,,
139,06/19/19 08:00:00,11.722,2066.7,,,,
140,06/19/19 08:30:00,12.013,8266.7,,,,
141,06/19/19 09:00:00,12.110,9644.5,,,,
142,06/19/19 09:30:00,11.819,4994.5,,,,
143,06/19/19 10:00:00,11.916,6544.5,,,,
144,06/19/19 10:30:00,11.916,7233.4,,,,
145,06/19/19 11:00:00,12.110,7577.8,,,,
