Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
139	7/18/2018 21:30	13.558	150.7					
140	7/18/2018 21:45	13.558	96.9					
141	7/18/2018 22:00	13.654	86.1					
142	7/18/2018 22:15	13.654	32.3					
143	7/18/2018 22:30	13.75	21.5					
144	7/18/2018 22:45	13.654	21.5					
145	7/18/2018 23:00	13.75	0					
146	7/18/2018 23:15	13.75	0					
147	7/18/2018 23:30	13.75	0					
148	7/18/2018 23:45	13.75	0					
149	7/19/2018 0:00	13.75	0					
150	7/19/2018 0:15	13.75	0					
151	7/19/2018 0:30	13.75	0					
152	7/19/2018 0:45	13.75	0					
153	7/19/2018 1:00	13.654	0					
154	7/19/2018 1:15	13.654	0					
155	7/19/2018 1:30	13.654	0					
156	7/19/2018 1:45	13.654	0					
157	7/19/2018 2:00	13.654	0					
158	7/19/2018 2:15	13.654	0					
159	7/19/2018 2:30	13.654	0					
160	7/19/2018 2:45	13.654	0					
161	7/19/2018 3:00	13.654	10.8					
162	7/19/2018 3:15	13.558	32.3					
163	7/19/2018 3:30	13.558	53.8					
164	7/19/2018 3:45	13.558	75.3					
165	7/19/2018 4:00	13.558	86.1					
166	7/19/2018 4:15	13.461	86.1					
167	7/19/2018 4:30	13.461	75.3					
168	7/19/2018 4:45	13.461	139.9					
169	7/19/2018 5:00	13.461	172.2					
170	7/19/2018 5:15	13.461	215.3					
171	7/19/2018 5:30	13.461	269.1					
172	7/19/2018 5:45	13.461	258.3					
173	7/19/2018 6:00	13.461	355.2					
174	7/19/2018 6:15	13.461	269.1					
175	7/19/2018 6:30	13.461	398.3					
176	7/19/2018 6:45	13.461	462.9					
177	7/19/2018 7:00	13.461	645.8					
178	7/19/2018 7:15	13.461	839.6					
179	7/19/2018 7:30	13.461	1097.9					
180	7/19/2018 7:45	13.461	1302.4					
181	7/19/2018 8:00	13.461	1334.7					
182	7/19/2018 8:15	13.461	1722.2					
183	7/19/2018 8:30	13.461	2152.8					
184	7/19/2018 8:45	13.461	1722.2					
185	7/19/2018 9:00	13.558	2497.2					
186	7/19/2018 9:15	13.558	2325					
187	7/19/2018 9:30	13.558	2238.9					
188	7/19/2018 9:45	13.654	2325					
189	7/19/2018 10:00	13.654	2583.4					
190	7/19/2018 10:15	13.654	2669.5					
191	7/19/2018 10:30	13.654	2927.8					
192	7/19/2018 10:45	13.75	3100					
193	7/19/2018 11:00	13.75	3272.2					
194	7/19/2018 11:15	13.75	2755.6					
195	7/19/2018 11:30	13.654	968.8					
196	7/19/2018 11:45	13.654	1076.4					
197	7/19/2018 12:00	13.75	2066.7					
198	7/19/2018 12:15	13.846	4822.3					
199	7/19/2018 12:30	13.75	1463.9					
200	7/19/2018 12:45	13.75	1550					
201	7/19/2018 13:00	13.75	1216.3					
