"Plot Title: MD_E6_Pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Good Battery (LGR S/N: 10517216)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
109,07/31/20 18:00:00,10.846,613.5,,,,,
110,07/31/20 18:30:00,10.846,925.7,,,,,
111,07/31/20 19:00:00,10.748,139.9,,,,,
112,07/31/20 19:30:00,10.748,107.6,,,,,
113,07/31/20 20:00:00,10.748,21.5,,,,,
114,07/31/20 20:30:00,10.748,32.3,,,,,
115,07/31/20 21:00:00,10.651,86.1,,,,,
116,07/31/20 21:30:00,10.553,43.1,,,,,
117,07/31/20 22:00:00,10.553,43.1,,,,,
118,07/31/20 22:30:00,10.553,10.8,,,,,
119,07/31/20 23:00:00,10.553,0.0,,,,,
120,07/31/20 23:30:00,10.651,0.0,,,,,
121,08/01/20 00:00:00,10.651,0.0,,,,,
122,08/01/20 00:30:00,10.651,0.0,,,,,
123,08/01/20 01:00:00,10.651,0.0,,,,,
124,08/01/20 01:30:00,10.651,0.0,,,,,
125,08/01/20 02:00:00,10.651,0.0,,,,,
126,08/01/20 02:30:00,10.651,0.0,,,,,
127,08/01/20 03:00:00,10.748,0.0,,,,,
128,08/01/20 03:30:00,10.651,0.0,,,,,
129,08/01/20 04:00:00,10.748,43.1,,,,,
130,08/01/20 04:30:00,10.651,10.8,,,,,
131,08/01/20 05:00:00,10.651,139.9,,,,,
132,08/01/20 05:30:00,10.748,462.9,,,,,
133,08/01/20 06:00:00,10.651,215.3,,,,,
134,08/01/20 06:30:00,10.748,96.9,,,,,
135,08/01/20 07:00:00,10.748,258.3,,,,,
136,08/01/20 07:30:00,10.846,172.2,,,,,
137,08/01/20 08:00:00,10.944,269.1,,,,,
138,08/01/20 08:30:00,10.944,258.3,,,,,
139,08/01/20 09:00:00,11.041,452.1,,,,,
140,08/01/20 09:30:00,11.041,1550.0,,,,,
141,08/01/20 10:00:00,11.139,3444.5,,,,,
