Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
119,7/23/2020 1:00,8.779,0,,,,
120,7/23/2020 1:30,8.779,0,,,,
121,7/23/2020 2:00,8.581,0,,,,
122,7/23/2020 2:30,8.581,0,,,,
123,7/23/2020 3:00,8.481,32.3,,,,
124,7/23/2020 3:30,8.481,53.8,,,,
125,7/23/2020 4:00,8.481,129.2,,,,
126,7/23/2020 4:30,8.182,279.9,,,,
127,7/23/2020 5:00,8.282,1184,,,,
128,7/23/2020 5:30,8.481,1722.2,,,,
129,7/23/2020 6:00,8.481,3961.1,,,,
130,7/23/2020 6:30,8.581,3272.2,,,,
131,7/23/2020 7:00,8.481,5166.7,,,,
132,7/23/2020 7:30,8.68,4994.5,,,,
133,7/23/2020 8:00,8.879,10333.4,,,,
134,7/23/2020 8:30,9.077,13089,,,,
135,7/23/2020 9:00,9.176,12400.1,,,,
136,7/23/2020 9:30,9.275,12400.1,,,,
137,7/23/2020 10:00,9.965,21355.7,,,,
138,7/23/2020 10:30,9.373,8266.7,,,,
139,7/23/2020 11:00,8.978,8611.2,,,,
140,7/23/2020 11:30,9.176,8611.2,,,,
141,7/23/2020 12:00,9.472,9300.1,,,,
142,7/23/2020 12:30,8.382,7233.4,,,,
143,7/23/2020 13:00,8.779,10677.8,,,,
144,7/23/2020 13:30,8.978,19977.9,,,,
145,7/23/2020 14:00,9.472,27555.7,,,,
146,7/23/2020 14:30,9.866,23422.4,,,,
147,7/23/2020 15:00,10.161,28933.5,,,,
148,7/23/2020 15:30,9.275,21355.7,,,,
149,7/23/2020 16:00,9.866,37200.2,,,,
150,7/23/2020 16:30,9.373,27555.7,,,,
151,7/23/2020 17:00,8.978,22044.6,,,,
152,7/23/2020 17:30,9.571,49600.3,,,,
153,7/23/2020 18:00,9.768,49600.3,,,,
154,7/23/2020 18:30,9.077,27555.7,,,,
155,7/23/2020 19:00,8.182,17222.3,,,,
156,7/23/2020 19:30,8.182,15155.7,,,,
157,7/23/2020 20:00,8.082,7233.4,,,,
158,7/23/2020 20:30,7.682,8266.7,,,,
159,7/23/2020 21:00,7.079,3272.2,,,,
160,7/23/2020 21:30,6.978,2066.7,,,,
161,7/23/2020 22:00,7.381,1097.9,,,,
162,7/23/2020 22:30,7.179,656.6,,,,
163,7/23/2020 23:00,6.978,215.3,,,,
164,7/23/2020 23:30,7.079,53.8,,,,
165,7/24/2020 0:00,6.775,10.8,,,,
166,7/24/2020 0:30,6.166,0,,,,
167,7/24/2020 1:00,6.166,0,,,,
168,7/24/2020 1:30,6.064,0,,,,
169,7/24/2020 2:00,6.37,0,,,,
170,7/24/2020 2:30,6.166,10.8,,,,
171,7/24/2020 3:00,6.37,86.1,,,,
172,7/24/2020 3:30,6.064,183,,,,
173,7/24/2020 4:00,6.166,226,,,,
174,7/24/2020 4:30,6.064,1087.2,,,,
175,7/24/2020 5:00,6.37,1463.9,,,,
176,7/24/2020 5:30,6.37,3100,,,,
177,7/24/2020 6:00,6.37,4650,,,,
178,7/24/2020 6:30,6.674,5166.7,,,,
179,7/24/2020 7:00,6.877,6200,,,,
180,7/24/2020 7:30,7.28,13777.9,,,,
181,7/24/2020 8:00,7.079,9300.1,,,,
182,7/24/2020 8:30,7.28,14466.8,,,,
183,7/24/2020 9:00,8.282,26178,,,,
184,7/24/2020 9:30,8.879,44089.2,,,,
185,7/24/2020 10:00,9.669,55111.5,,,,
186,7/24/2020 10:30,9.768,41333.6,,,,
187,7/24/2020 11:00,9.373,33066.9,,,,
188,7/24/2020 11:30,8.978,35822.5,,,,
189,7/24/2020 12:00,8.779,23422.4,,,,
190,7/24/2020 12:30,9.176,52355.9,,,,
191,7/24/2020 13:00,9.176,46844.8,,,,
192,7/24/2020 13:30,8.581,37200.2,,,,
193,7/24/2020 14:00,8.879,57867,,,,
194,7/24/2020 14:30,9.077,57867,,,,
195,7/24/2020 15:00,9.866,63378.2,,,,
196,7/24/2020 15:30,7.582,22044.6,,,,
197,7/24/2020 16:00,7.882,26178,,,,
198,7/24/2020 16:30,8.68,38578,,,,
199,7/24/2020 17:00,9.866,88178.4,,,,
200,7/24/2020 17:30,9.077,44089.2,,,,
201,7/24/2020 18:00,7.782,26178,,,,
202,7/24/2020 18:30,7.582,22044.6,,,,
203,7/24/2020 19:00,7.481,20666.8,,,,
204,7/24/2020 19:30,7.782,21355.7,,,,
205,7/24/2020 20:00,7.079,9300.1,,,,
206,7/24/2020 20:30,6.775,6544.5,,,,
207,7/24/2020 21:00,6.573,5511.1,,,,
208,7/24/2020 21:30,6.573,5166.7,,,,
209,7/24/2020 22:00,6.471,4994.5,,,,
210,7/24/2020 22:30,6.268,1033.3,,,,
211,7/24/2020 23:00,6.166,290.6,,,,
212,7/24/2020 23:30,6.064,75.3,,,,
213,7/25/2020 0:00,6.064,21.5,,,,
214,7/25/2020 0:30,5.962,0,,,,
215,7/25/2020 1:00,5.86,0,,,,
216,7/25/2020 1:30,5.86,0,,,,
217,7/25/2020 2:00,5.757,10.8,,,,
218,7/25/2020 2:30,5.757,32.3,,,,
219,7/25/2020 3:00,5.757,150.7,,,,
220,7/25/2020 3:30,5.86,409,,,,
221,7/25/2020 4:00,5.757,613.5,,,,
222,7/25/2020 4:30,5.962,1377.8,,,,
223,7/25/2020 5:00,5.655,2411.1,,,,
224,7/25/2020 5:30,5.962,4305.6,,,,
225,7/25/2020 6:00,6.166,7233.4,,,,
226,7/25/2020 6:30,6.573,10333.4,,,,
227,7/25/2020 7:00,7.079,11022.3,,,,
228,7/25/2020 7:30,7.179,12400.1,,,,
229,7/25/2020 8:00,8.382,27555.7,,,,
230,7/25/2020 8:30,9.373,26178,,,,
231,7/25/2020 9:00,9.571,26178,,,,
232,7/25/2020 9:30,8.382,10333.4,,,,
233,7/25/2020 10:00,9.768,41333.6,,,,
234,7/25/2020 10:30,9.472,38578,,,,
235,7/25/2020 11:00,10.259,27555.7,,,,
236,7/25/2020 11:30,12.98,85422.8,,,,
237,7/25/2020 12:00,10.553,46844.8,,,,
238,7/25/2020 12:30,9.571,38578,,,,
239,7/25/2020 13:00,9.768,24800.2,,,,
240,7/25/2020 13:30,9.373,26178,,,,
