"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
110,06/15/19 20:30:00,12.883,1808.3,,,,,
111,06/15/19 21:00:00,12.883,1894.5,,,,,
112,06/15/19 21:30:00,12.883,1237.9,,,,,
113,06/15/19 22:00:00,12.787,1119.5,,,,,
114,06/15/19 22:30:00,12.787,775.0,,,,,
115,06/15/19 23:00:00,12.690,452.1,,,,,
116,06/15/19 23:30:00,12.690,290.6,,,,,
117,06/16/19 00:00:00,12.690,247.6,,,,,
118,06/16/19 00:30:00,12.690,107.6,,,,,
119,06/16/19 01:00:00,12.690,86.1,,,,,
120,06/16/19 01:30:00,12.690,150.7,,,,,
121,06/16/19 02:00:00,12.690,279.9,,,,,
122,06/16/19 02:30:00,12.594,312.2,,,,,
123,06/16/19 03:00:00,12.594,441.3,,,,,
124,06/16/19 03:30:00,12.690,710.4,,,,,
125,06/16/19 04:00:00,12.690,1011.8,,,,,
126,06/16/19 04:30:00,12.787,2669.5,,,,,
127,06/16/19 05:00:00,12.883,4822.3,,,,,
128,06/16/19 05:30:00,12.980,4994.5,,,,,
129,06/16/19 06:00:00,12.980,5166.7,,,,,
130,06/16/19 06:30:00,13.076,5166.7,,,,,
131,06/16/19 07:00:00,13.173,4305.6,,,,,
132,06/16/19 07:30:00,13.461,6200.0,,,,,
133,06/16/19 08:00:00,13.654,9300.1,,,,,
134,06/16/19 08:30:00,13.654,4650.0,,,,,
135,06/16/19 09:00:00,13.750,4994.5,,,,,
136,06/16/19 09:30:00,14.134,37200.2,,,,,
137,06/16/19 10:00:00,14.325,27555.7,,,,,
138,06/16/19 10:30:00,14.325,41333.6,,,,,
139,06/16/19 11:00:00,14.613,49600.3,,,,,
140,06/16/19 11:30:00,14.804,71644.9,,,,,
141,06/16/19 12:00:00,14.804,44089.2,,,,,
142,06/16/19 12:30:00,15.187,24800.2,,,,,
143,06/16/19 13:00:00,14.900,23422.4,,,,,
144,06/16/19 13:30:00,14.804,68889.3,,,,,
145,06/16/19 14:00:00,15.378,16533.4,,,,,
146,06/16/19 14:30:00,15.187,24800.2,,,,,
147,06/16/19 15:00:00,15.187,28933.5,,,,,
148,06/16/19 15:30:00,15.187,21355.7,,,,,
149,06/16/19 16:00:00,14.900,17222.3,,,,,
150,06/16/19 16:30:00,14.804,12400.1,,,,,
151,06/16/19 17:00:00,14.517,7577.8,,,,,
152,06/16/19 17:30:00,14.517,12400.1,,,,,
153,06/16/19 18:00:00,14.517,6200.0,,,,,
154,06/16/19 18:30:00,14.325,4822.3,,,,,
155,06/16/19 19:00:00,14.613,14466.8,,,,,
156,06/16/19 19:30:00,14.230,4650.0,,,,,
157,06/16/19 20:00:00,14.230,6544.5,,,,,
