"Plot Title: MD_CSa_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)","Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)","End Of File (LGR S/N: 10349969)"
132,08/30/18 22:00:00,6.978,0.0,
133,08/31/18 00:00:00,7.079,0.0,
134,08/31/18 02:00:00,7.179,0.0,
135,08/31/18 04:00:00,7.280,0.0,
136,08/31/18 06:00:00,7.280,21.5,
137,08/31/18 08:00:00,7.381,1097.9,
138,08/31/18 10:00:00,7.280,1259.4,
139,08/31/18 12:00:00,8.082,53.8,
140,08/31/18 14:00:00,7.882,183.0,
141,08/31/18 16:00:00,7.682,1011.8,
142,08/31/18 18:00:00,7.782,1463.9,
143,08/31/18 20:00:00,7.782,183.0,
144,08/31/18 22:00:00,7.983,0.0,
145,09/01/18 00:00:00,7.782,0.0,
146,09/01/18 02:00:00,7.782,0.0,
147,09/01/18 04:00:00,7.682,0.0,
148,09/01/18 06:00:00,7.582,0.0,
149,09/01/18 08:00:00,7.481,129.2,
150,09/01/18 10:00:00,7.079,4305.6,
151,09/01/18 12:00:00,7.582,333.7,
152,09/01/18 14:00:00,8.182,0.0,
153,09/01/18 16:00:00,8.382,43.1,
154,09/01/18 18:00:00,8.481,21.5,
155,09/01/18 20:00:00,8.382,0.0,
156,09/01/18 22:00:00,8.282,0.0,
157,09/02/18 00:00:00,8.182,0.0,
158,09/02/18 02:00:00,8.082,0.0,
159,09/02/18 04:00:00,7.983,0.0,
160,09/02/18 06:00:00,7.481,32.3,
161,09/02/18 08:00:00,7.179,1463.9,
162,09/02/18 10:00:00,7.179,4650.0,
163,09/02/18 12:00:00,7.481,11711.2,
164,09/02/18 14:00:00,7.882,12400.1,
165,09/02/18 16:00:00,7.481,2411.1,
166,09/02/18 18:00:00,7.682,2238.9,
167,09/02/18 20:00:00,7.582,96.9,
168,09/02/18 22:00:00,7.481,0.0,
169,09/03/18 00:00:00,7.582,0.0,
170,09/03/18 02:00:00,7.381,0.0,
171,09/03/18 04:00:00,7.280,0.0,
172,09/03/18 06:00:00,7.280,10.8,
173,09/03/18 08:00:00,7.481,1011.8,
174,09/03/18 10:00:00,7.682,3444.5,
175,09/03/18 12:00:00,7.983,6544.5,
176,09/03/18 14:00:00,8.282,5166.7,
177,09/03/18 16:00:00,8.581,3616.7,
178,09/03/18 18:00:00,8.680,1377.8,
179,09/03/18 20:00:00,8.481,118.4,
180,09/03/18 22:00:00,8.481,0.0,
181,09/04/18 00:00:00,8.481,0.0,
182,09/04/18 02:00:00,8.481,0.0,
183,09/04/18 04:00:00,8.481,0.0,
184,09/04/18 06:00:00,8.182,53.8,
185,09/04/18 08:00:00,7.882,1119.5,
186,09/04/18 10:00:00,7.782,1636.1,
187,09/04/18 12:00:00,7.882,2927.8,
188,09/04/18 14:00:00,8.282,12400.1,
189,09/04/18 16:00:00,7.983,3788.9,
190,09/04/18 18:00:00,7.882,1377.8,
191,09/04/18 20:00:00,7.882,86.1,
192,09/04/18 22:00:00,7.983,0.0,
193,09/05/18 00:00:00,7.983,0.0,
194,09/05/18 02:00:00,7.983,0.0,
195,09/05/18 04:00:00,7.983,0.0,
196,09/05/18 06:00:00,7.983,10.8,
197,09/05/18 08:00:00,8.282,1980.6,
198,09/05/18 10:00:00,8.382,2583.4,
199,09/05/18 12:00:00,8.382,1463.9,
200,09/05/18 14:00:00,8.680,1808.3,
201,09/05/18 16:00:00,8.779,914.9,
202,09/05/18 18:00:00,8.779,635.1,
203,09/05/18 20:00:00,8.779,32.3,
204,09/05/18 22:00:00,8.779,0.0,
205,09/06/18 00:00:00,8.680,0.0,
206,09/06/18 02:00:00,8.680,0.0,
207,09/06/18 04:00:00,8.481,0.0,
208,09/06/18 06:00:00,8.282,21.5,
209,09/06/18 08:00:00,7.983,914.9,
210,09/06/18 10:00:00,7.983,2755.6,
211,09/06/18 12:00:00,8.382,8611.2,
212,09/06/18 14:00:00,8.581,8266.7,
213,09/06/18 16:00:00,8.481,5338.9,
214,09/06/18 18:00:00,8.581,3444.5,
215,09/06/18 20:00:00,8.680,129.2,
216,09/06/18 22:00:00,9.077,0.0,
217,09/07/18 00:00:00,9.373,0.0,
218,09/07/18 02:00:00,9.275,0.0,
219,09/07/18 04:00:00,9.176,0.0,
220,09/07/18 06:00:00,8.978,53.8,
221,09/07/18 08:00:00,8.779,1550.0,
222,09/07/18 10:00:00,9.176,4994.5,
223,09/07/18 12:00:00,8.779,7577.8,
224,09/07/18 14:00:00,9.077,13089.0,
225,09/07/18 16:00:00,9.176,5511.1,
226,09/07/18 18:00:00,9.373,1044.1,
227,09/07/18 20:00:00,8.779,75.3,
228,09/07/18 22:00:00,8.481,0.0,
229,09/08/18 00:00:00,8.481,0.0,
230,09/08/18 02:00:00,8.581,0.0,
231,09/08/18 04:00:00,8.481,0.0,
232,09/08/18 06:00:00,8.282,0.0,
233,09/08/18 08:00:00,8.282,279.9,
234,09/08/18 10:00:00,8.879,990.3,
235,09/08/18 12:00:00,8.879,1227.1,
236,09/08/18 14:00:00,8.978,1463.9,
237,09/08/18 16:00:00,9.176,1550.0,
238,09/08/18 18:00:00,9.176,947.2,
239,09/08/18 20:00:00,8.978,32.3,
240,09/08/18 22:00:00,8.680,0.0,
241,09/09/18 00:00:00,8.481,0.0,
242,09/09/18 02:00:00,8.282,0.0,
243,09/09/18 04:00:00,8.182,0.0,
244,09/09/18 06:00:00,8.082,10.8,
245,09/09/18 08:00:00,8.282,1550.0,
246,09/09/18 10:00:00,8.382,7233.4,
247,09/09/18 12:00:00,8.581,8611.2,
248,09/09/18 14:00:00,8.879,10333.4,
249,09/09/18 16:00:00,8.680,3961.1,
250,09/09/18 18:00:00,8.879,1722.2,
251,09/09/18 20:00:00,8.779,64.6,
252,09/09/18 22:00:00,8.680,0.0,
253,09/10/18 00:00:00,8.680,0.0,
254,09/10/18 02:00:00,8.680,0.0,
255,09/10/18 04:00:00,8.481,0.0,
256,09/10/18 06:00:00,8.082,10.8,
257,09/10/18 08:00:00,7.983,1054.9,
258,09/10/18 10:00:00,8.082,4133.4,
259,09/10/18 12:00:00,8.182,3788.9,
260,09/10/18 14:00:00,8.282,6544.5,
261,09/10/18 16:00:00,8.182,6544.5,
262,09/10/18 18:00:00,7.983,1980.6,
263,09/10/18 20:00:00,8.282,32.3,
264,09/10/18 22:00:00,8.182,0.0,
265,09/11/18 00:00:00,8.182,0.0,
266,09/11/18 02:00:00,8.082,0.0,
267,09/11/18 04:00:00,8.082,0.0,
268,09/11/18 06:00:00,7.882,10.8,
269,09/11/18 08:00:00,7.983,1173.3,
270,09/11/18 10:00:00,8.282,7233.4,
271,09/11/18 12:00:00,8.282,6200.0,
272,09/11/18 14:00:00,8.282,5511.1,
273,09/11/18 16:00:00,8.282,4133.4,
274,09/11/18 18:00:00,8.282,1722.2,
275,09/11/18 20:00:00,8.182,32.3,
276,09/11/18 22:00:00,8.182,0.0,
277,09/12/18 00:00:00,8.082,0.0,
278,09/12/18 02:00:00,7.882,0.0,
279,09/12/18 04:00:00,7.682,0.0,
280,09/12/18 06:00:00,7.782,10.8,
281,09/12/18 08:00:00,7.882,2066.7,
282,09/12/18 10:00:00,8.382,5166.7,
283,09/12/18 12:00:00,8.680,11711.2,
284,09/12/18 14:00:00,8.978,8611.2,
285,09/12/18 16:00:00,8.581,3616.7,
286,09/12/18 18:00:00,8.581,1722.2,
287,09/12/18 20:00:00,8.481,10.8,
288,09/12/18 22:00:00,8.282,0.0,
289,09/13/18 00:00:00,7.983,0.0,
290,09/13/18 02:00:00,7.882,0.0,
291,09/13/18 04:00:00,7.882,0.0,
292,09/13/18 06:00:00,7.882,0.0,
293,09/13/18 08:00:00,7.882,1808.3,
294,09/13/18 10:00:00,7.882,2238.9,
295,09/13/18 12:00:00,8.182,6200.0,
296,09/13/18 14:00:00,8.481,5511.1,
297,09/13/18 16:00:00,8.382,2927.8,
