Plot Title: miniDOT-Pelagic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)"	"Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)"	Coupler Attached (LGR S/N: 10349969)	Host Connected (LGR S/N: 10349969)	Stopped (LGR S/N: 10349969)	End Of File (LGR S/N: 10349969)
135	6/16/2018 2:00	10.651	86.1				
136	6/16/2018 2:30	10.553	129.2				
137	6/16/2018 3:00	10.553	247.6				
138	6/16/2018 3:30	10.553	430.6				
139	6/16/2018 4:00	10.455	839.6				
140	6/16/2018 4:30	10.455	1065.6				
141	6/16/2018 5:00	10.455	1377.8				
142	6/16/2018 5:30	10.455	2238.9				
143	6/16/2018 6:00	10.455	2755.6				
144	6/16/2018 6:30	10.357	2927.8				
145	6/16/2018 7:00	10.357	2927.8				
146	6/16/2018 7:30	10.357	5338.9				
147	6/16/2018 8:00	10.357	5166.7				
148	6/16/2018 8:30	10.357	4650				
149	6/16/2018 9:00	10.357	6200				
150	6/16/2018 9:30	10.651	9644.5				
151	6/16/2018 10:00	10.944	13777.9				
152	6/16/2018 10:30	11.041	12400.1				
153	6/16/2018 11:00	11.041	17222.3				
154	6/16/2018 11:30	10.846	8611.2				
155	6/16/2018 12:00	10.846	8266.7				
156	6/16/2018 12:30	11.139	17222.3				
157	6/16/2018 13:00	11.625	26178				
158	6/16/2018 13:30	10.846	5511.1				
159	6/16/2018 14:00	10.553	4994.5				
160	6/16/2018 14:30	10.748	8266.7				
161	6/16/2018 15:00	10.651	5166.7				
162	6/16/2018 15:30	11.041	12400.1				
163	6/16/2018 16:00	11.334	18600.1				
164	6/16/2018 16:30	11.236	8266.7				
165	6/16/2018 17:00	11.139	4822.3				
166	6/16/2018 17:30	11.139	6200				
167	6/16/2018 18:00	11.041	4994.5				
168	6/16/2018 18:30	11.139	3788.9				
169	6/16/2018 19:00	11.041	4822.3				
170	6/16/2018 19:30	10.944	4133.4				
171	6/16/2018 20:00	10.944	3444.5				
172	6/16/2018 20:30	10.748	2497.2				
173	6/16/2018 21:00	10.748	1808.3				
174	6/16/2018 21:30	10.748	1097.9				
175	6/16/2018 22:00	10.651	871.9				
176	6/16/2018 22:30	10.651	516.7				
177	6/16/2018 23:00	10.651	376.7				
178	6/16/2018 23:30	10.553	247.6				
179	6/17/2018 0:00	10.553	150.7				
180	6/17/2018 0:30	10.553	118.4				
181	6/17/2018 1:00	10.455	86.1				
182	6/17/2018 1:30	10.455	86.1				
183	6/17/2018 2:00	10.357	96.9				
184	6/17/2018 2:30	10.357	161.5				
185	6/17/2018 3:00	10.357	269.1				
186	6/17/2018 3:30	10.357	473.6				
187	6/17/2018 4:00	10.357	807.3				
188	6/17/2018 4:30	10.357	1377.8				
189	6/17/2018 5:00	10.357	1550				
190	6/17/2018 5:30	10.357	1550				
191	6/17/2018 6:00	10.455	2152.8				
192	6/17/2018 6:30	10.651	3272.2				
193	6/17/2018 7:00	10.748	5166.7				
194	6/17/2018 7:30	10.846	8266.7				
195	6/17/2018 8:00	11.041	12400.1				
196	6/17/2018 8:30	11.041	17911.2				
197	6/17/2018 9:00	11.139	16533.4				
198	6/17/2018 9:30	11.041	15155.7				
199	6/17/2018 10:00	11.139	16533.4				
200	6/17/2018 10:30	11.431	22044.6				
201	6/17/2018 11:00	11.334	11711.2				
202	6/17/2018 11:30	11.236	12400.1				
203	6/17/2018 12:00	11.139	7577.8				
204	6/17/2018 12:30	10.944	2927.8				
205	6/17/2018 13:00	11.139	7233.4				
206	6/17/2018 13:30	12.11	22044.6				
207	6/17/2018 14:00	11.139	8611.2				
208	6/17/2018 14:30	11.139	11022.3				
209	6/17/2018 15:00	11.916	13777.9				
210	6/17/2018 15:30	11.819	22044.6				
211	6/17/2018 16:00	12.013	17911.2				
212	6/17/2018 16:30	11.916	10333.4				
213	6/17/2018 17:00	11.916	14466.8				
214	6/17/2018 17:30	11.819	17911.2				
215	6/17/2018 18:00	11.916	8611.2				
216	6/17/2018 18:30	11.722	6544.5				
217	6/17/2018 19:00	11.625	5166.7				
218	6/17/2018 19:30	11.528	3616.7				
219	6/17/2018 20:00	11.625	3616.7				
220	6/17/2018 20:30	11.431	4650				
221	6/17/2018 21:00	11.334	1894.5				
222	6/17/2018 21:30	11.334	1270.1				
223	6/17/2018 22:00	11.236	731.9				
224	6/17/2018 22:30	11.236	333.7				
225	6/17/2018 23:00	11.236	183				
226	6/17/2018 23:30	11.334	118.4				
227	6/18/2018 0:00	11.334	86.1				
228	6/18/2018 0:30	11.334	64.6				
229	6/18/2018 1:00	11.334	53.8				
230	6/18/2018 1:30	11.334	43.1				
231	6/18/2018 2:00	11.334	21.5				
232	6/18/2018 2:30	11.334	53.8				
233	6/18/2018 3:00	11.334	32.3				
234	6/18/2018 3:30	11.431	64.6				
