Plot Title: Sonde 2015,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
124,5/27/15 1:42,3.788,43.1,,,,
125,5/27/15 2:12,3.893,96.9,,,,
126,5/27/15 2:42,3.788,193.8,,,,
127,5/27/15 3:12,3.893,301.4,,,,
128,5/27/15 3:42,3.683,645.8,,,,
129,5/27/15 4:12,3.472,2325,,,,
130,5/27/15 4:42,3.367,3100,,,,
131,5/27/15 5:12,3.683,5166.7,,,,
132,5/27/15 5:42,4.311,8266.7,,,,
133,5/27/15 6:12,4.311,8266.7,,,,
134,5/27/15 6:42,4.623,9644.5,,,,
135,5/27/15 7:12,4.623,11711.2,,,,
136,5/27/15 7:42,6.166,27555.7,,,,
137,5/27/15 8:12,6.775,27555.7,,,,
138,5/27/15 8:42,5.655,20666.8,,,,
139,5/27/15 9:12,6.978,34444.7,,,,
140,5/27/15 9:42,7.481,38578,,,,
141,5/27/15 10:12,5.655,14466.8,,,,
142,5/27/15 10:42,7.381,33066.9,,,,
143,5/27/15 11:12,6.877,23422.4,,,,
144,5/27/15 11:42,8.481,42711.4,,,,
145,5/27/15 12:12,10.944,55111.5,,,,
146,5/27/15 12:42,9.866,33066.9,,,,
147,5/27/15 13:12,9.472,57867,,,,
148,5/27/15 13:42,9.965,66133.8,,,,
149,5/27/15 14:12,9.176,39955.8,,,,
150,5/27/15 14:42,7.481,33066.9,,,,
151,5/27/15 15:12,7.682,41333.6,,,,
152,5/27/15 15:42,6.877,22044.6,,,,
153,5/27/15 16:12,6.775,22044.6,,,,
154,5/27/15 16:42,6.471,20666.8,,,,
155,5/27/15 17:12,6.166,20666.8,,,,
156,5/27/15 17:42,5.757,13777.9,,,,
157,5/27/15 18:12,5.347,8611.2,,,,
158,5/27/15 18:42,5.552,12400.1,,,,
159,5/27/15 19:12,5.141,9300.1,,,,
160,5/27/15 19:42,5.141,12400.1,,,,
161,5/27/15 20:12,4.623,7577.8,,,,
162,5/27/15 20:42,4.934,10333.4,,,,
163,5/27/15 21:12,3.998,4477.8,,,,
164,5/27/15 21:42,3.788,4133.4,,,,
165,5/27/15 22:12,3.578,1377.8,,,,
166,5/27/15 22:42,3.261,785.8,,,,
167,5/27/15 23:12,3.049,258.3,,,,
168,5/27/15 23:42,3.049,96.9,,,,
169,5/28/15 0:12,2.837,53.8,,,,
170,5/28/15 0:42,2.73,75.3,,,,
171,5/28/15 1:12,2.943,32.3,,,,
172,5/28/15 1:42,2.517,64.6,,,,
173,5/28/15 2:12,2.303,96.9,,,,
174,5/28/15 2:42,2.088,236.8,,,,
175,5/28/15 3:12,1.872,398.3,,,,
